1 :  49   [[83, 41, 23], [83, 36, 29], [84, 45, 20], [98, 49], [79, 70], [90, 57], [96, 46], [93, 57], [92, 57], [98, 43], [84, 62], [93, 55], [84, 55], [86, 60], [82, 60], [91, 57], [87, 58], [67, 74], [94, 43], [80, 70], [96, 50], [79, 45, 26], [91, 59], [69, 73], [85, 64], [74, 69], [81, 58], [76, 66], [98, 46], [80, 69], [33, 85, 32], [84, 62], [82, 58], [73, 71], [78, 49], [78, 42, 25], [80, 70], [84, 42, 24], [78, 72], [78, 55], [38, 73, 38], [73, 44, 33], [43, 39, 42, 25], [49, 41, 47], [43, 41, 33, 32], [36, 42, 44, 27], [42, 28, 39, 38], [36, 37, 27, 35], [23, 30, 30, 30]]
37 :  49   [[93, 44], [78, 70], [84, 59], [91, 57], [93, 57], [85, 37, 27], [98, 46], [74, 74], [98, 47], [92, 57], [80, 70], [83, 60], [50, 98], [69, 80], [90, 57], [91, 46], [82, 58], [94, 55], [96, 49], [84, 66], [84, 60], [96, 49], [87, 62], [81, 43, 25], [28, 83, 36], [85, 64], [86, 55], [78, 45, 24], [71, 78], [80, 43, 27], [84, 41, 23], [73, 73], [69, 73], [76, 70], [78, 67], [79, 69], [73, 72], [82, 42, 26], [84, 58], [79, 35, 36], [55, 41, 43], [43, 49, 58], [42, 62, 42], [39, 42, 25, 38], [45, 42, 30, 33], [41, 36, 38, 33], [44, 39, 38, 29], [32, 33, 30, 32, 23], [30, 20]]
38 :  49   [[91, 46], [80, 70], [84, 58], [72, 78], [96, 47], [98, 50], [96, 49], [98, 49], [79, 69], [79, 70], [94, 55], [82, 62], [82, 67], [93, 57], [73, 73], [80, 60], [70, 78], [93, 57], [84, 66], [92, 58], [90, 58], [98, 46], [84, 55], [80, 69], [73, 74], [87, 38, 25], [85, 62], [91, 59], [86, 64], [83, 57], [85, 60], [83, 39, 25], [78, 71], [84, 57], [84, 49], [78, 69], [81, 42, 24], [73, 74], [76, 43, 30], [55, 42, 43], [45, 42, 33, 28], [33, 44, 43, 27], [43, 44, 30, 32], [37, 36, 41, 36], [45, 42, 39, 23], [41, 38, 36, 35], [38, 42, 33, 30], [41, 32, 23, 29, 20], [27, 26]]
39 :  49   [[98, 49], [98, 50], [91, 58], [82, 62], [91, 59], [81, 69], [98, 46], [93, 57], [84, 62], [72, 78], [79, 70], [96, 47], [93, 57], [80, 69], [87, 57], [96, 49], [94, 55], [85, 60], [92, 55], [90, 37, 23], [73, 74], [82, 55], [86, 64], [74, 70], [84, 39, 25], [79, 71], [67, 83], [85, 60], [84, 58], [80, 69], [80, 70], [73, 58], [76, 73], [84, 66], [78, 45, 27], [78, 30, 42], [83, 44, 23], [84, 38, 27], [42, 78, 29], [73, 43, 33], [49, 44, 43], [46, 41, 45], [57, 43, 36], [41, 36, 42, 30], [41, 43, 32, 33], [38, 39, 35, 36], [42, 42, 38, 28], [33, 32, 30, 26, 25], [24, 20]]
40 :  49   [[69, 80], [78, 70], [85, 57], [96, 49], [96, 49], [98, 49], [98, 50], [67, 83], [85, 62], [70, 78], [84, 57], [90, 58], [87, 59], [93, 57], [94, 55], [91, 35, 24], [78, 44, 27], [80, 69], [98, 43], [91, 55], [83, 64], [92, 58], [86, 58], [93, 57], [69, 76], [79, 44, 27], [82, 60], [84, 66], [84, 60], [74, 73], [30, 74, 33], [80, 70], [73, 73], [84, 55], [84, 47], [82, 62], [71, 79], [72, 78], [81, 36, 32], [73, 46, 29], [45, 41, 45], [43, 33, 42, 32], [42, 43, 26, 38], [46, 42, 41, 20], [37, 38, 38, 36], [39, 36, 42, 28], [42, 43, 39, 23], [41, 33, 30, 30], [25, 25, 23]]
41 :  49   [[83, 67], [81, 62], [84, 57], [86, 62], [96, 49], [85, 64], [80, 70], [94, 55], [98, 49], [91, 55], [84, 60], [92, 58], [84, 57], [91, 59], [85, 58], [73, 71], [93, 57], [93, 55], [78, 70], [82, 50], [98, 49], [98, 45], [87, 30, 33], [82, 57], [78, 69], [80, 38, 32], [96, 46], [90, 58], [78, 70], [84, 43, 20], [78, 72], [83, 66], [74, 73], [80, 69], [79, 69], [73, 76], [26, 84, 39], [79, 44, 25], [74, 73], [35, 47, 60], [36, 41, 43, 30], [36, 42, 46, 23], [42, 36, 42, 30], [43, 45, 43], [39, 32, 33, 44], [38, 38, 42, 28], [33, 42, 41, 29], [41, 37, 24, 27], [23, 27, 25]]
42 :  49   [[80, 64], [69, 73], [73, 74], [96, 41], [96, 49], [83, 57], [92, 55], [98, 46], [84, 62], [90, 60], [91, 58], [93, 49], [93, 57], [98, 45], [98, 50], [81, 69], [94, 55], [82, 58], [80, 70], [79, 43, 27], [84, 66], [78, 70], [85, 60], [87, 58], [84, 41, 24], [83, 67], [91, 59], [84, 62], [86, 55], [85, 57], [82, 57], [84, 43, 23], [43, 78, 28], [80, 70], [74, 33, 42], [71, 79], [76, 43, 30], [78, 72], [73, 73], [78, 69], [42, 49, 32, 23], [44, 42, 38, 25], [42, 41, 38, 27], [37, 39, 46, 26], [36, 47, 38, 29], [36, 42, 33, 35], [44, 45, 39, 20], [32, 36, 33, 30], [30, 25]]
43 :  49   [[93, 57], [78, 70], [98, 49], [96, 44], [86, 58], [79, 69], [73, 73], [94, 55], [78, 70], [92, 46], [91, 57], [67, 80], [96, 44], [98, 46], [98, 50], [91, 58], [74, 73], [87, 60], [83, 60], [73, 72], [84, 25, 35], [85, 64], [90, 55], [85, 32, 32], [83, 66], [93, 57], [84, 59], [74, 39, 37], [84, 57], [84, 62], [81, 58], [70, 80], [82, 55], [82, 43, 25], [78, 69], [84, 36, 30], [80, 42, 23], [79, 47, 23], [78, 71], [76, 69], [62, 41, 45], [49, 33, 49], [42, 43, 39, 24], [42, 45, 36, 27], [42, 38, 41, 28], [36, 43, 43, 26], [42, 33, 38, 30], [38, 41, 30, 33], [27, 29, 20]]
44 :  49   [[96, 49], [98, 46], [79, 69], [98, 50], [90, 57], [84, 55], [96, 41], [98, 49], [92, 57], [80, 60], [87, 55], [84, 64], [85, 58], [82, 67], [78, 70], [94, 55], [80, 70], [91, 58], [93, 57], [84, 66], [85, 42, 23], [79, 70], [83, 62], [84, 42, 24], [73, 73], [78, 42, 30], [93, 57], [86, 60], [76, 74], [91, 45], [27, 73, 41], [84, 59], [80, 69], [78, 37, 33], [73, 74], [58, 69, 23], [81, 45, 20], [83, 43], [78, 72], [47, 71, 30], [82, 44], [62, 46, 32], [33, 38, 49, 30], [44, 42, 36, 28], [38, 35, 41, 36], [38, 42, 43, 26], [33, 43, 43, 29], [36, 39, 39, 32], [27, 25, 25]]
45 :  49   [[83, 64], [90, 59], [98, 44], [98, 26, 25], [73, 76], [92, 57], [93, 49], [91, 55], [91, 58], [72, 78], [94, 55], [70, 80], [84, 60], [85, 43, 20], [82, 57], [96, 50], [81, 69], [98, 49], [80, 70], [30, 84, 36], [82, 66], [84, 62], [93, 57], [87, 60], [58, 86], [85, 62], [73, 70], [74, 73], [96, 43], [83, 58], [84, 57], [78, 71], [84, 55], [74, 45, 28], [79, 69], [78, 67], [80, 69], [73, 41, 36], [79, 44, 25], [78, 45, 23], [38, 38, 43, 30], [46, 49, 46], [38, 42, 39, 27], [33, 24, 42, 47], [42, 41, 41, 23], [32, 43, 35, 33], [42, 36, 37, 33], [27, 42, 39, 32], [29, 30]]
46 :  49   [[62, 84], [83, 64], [98, 50], [85, 62], [96, 49], [82, 67], [94, 55], [92, 58], [93, 55], [98, 49], [80, 69], [96, 49], [93, 57], [84, 60], [46, 70, 29], [91, 57], [87, 30, 33], [83, 46, 20], [79, 71], [86, 59], [91, 58], [73, 74], [82, 44, 23], [90, 43], [78, 72], [84, 60], [69, 81], [84, 43], [85, 55], [78, 70], [98, 44], [73, 74], [38, 80, 32], [84, 42, 24], [78, 41, 30], [76, 73], [45, 69, 36], [79, 70], [66, 73], [80, 45, 23], [41, 78, 26], [57, 58, 32], [57, 47, 41], [42, 37, 42, 25], [42, 36, 43, 27], [27, 43, 38, 30], [33, 39, 39, 38], [42, 36, 33, 28], [35, 25]]
47 :  49   [[82, 66], [92, 58], [93, 57], [84, 58], [79, 71], [96, 49], [85, 62], [91, 58], [91, 42], [93, 38], [98, 41], [98, 45], [83, 67], [98, 43], [96, 44], [90, 60], [84, 41, 25], [70, 80], [73, 74], [84, 62], [38, 84, 27], [81, 69], [69, 78], [85, 60], [78, 70], [84, 59], [43, 74, 32], [70, 79], [94, 55], [86, 64], [72, 73], [87, 57], [78, 69], [73, 76], [80, 47, 23], [80, 41, 28], [83, 46, 20], [82, 39, 29], [49, 73, 27], [55, 78], [57, 49, 44], [55, 46, 43], [50, 57, 43], [32, 33, 42, 42], [45, 42, 36, 26], [39, 42, 36, 30], [33, 30, 38, 36], [33, 35, 37, 30], [25, 23, 24]]
48 :  49   [[82, 64], [98, 41], [92, 58], [90, 55], [93, 57], [69, 81], [91, 57], [96, 42], [78, 38, 33], [50, 76, 23], [45, 80, 24], [85, 62], [73, 73], [98, 49], [98, 47], [78, 42, 27], [80, 57], [94, 55], [93, 57], [86, 59], [87, 60], [84, 26, 39], [84, 62], [74, 74], [84, 66], [96, 49], [84, 39, 25], [91, 33, 25], [85, 60], [83, 45, 20], [82, 67], [73, 73], [78, 70], [79, 69], [79, 70], [80, 69], [83, 58], [43, 72, 35], [84, 55], [78, 71], [44, 70, 36], [41, 46, 49], [43, 38, 38, 30], [46, 42, 58], [44, 43, 42], [36, 42, 43, 27], [37, 36, 41, 32], [32, 30, 33, 29, 23], [30, 28]]
49 :  49   [[86, 64], [93, 57], [96, 49], [98, 49], [82, 67], [98, 49], [23, 42, 84], [92, 39], [94, 55], [91, 58], [70, 78], [84, 66], [80, 70], [96, 43], [82, 44, 24], [84, 60], [91, 58], [79, 71], [85, 62], [90, 57], [98, 27, 25], [84, 59], [80, 69], [69, 78], [79, 69], [83, 50], [93, 57], [72, 78], [80, 70], [81, 62], [87, 58], [84, 57], [83, 60], [74, 73], [42, 78, 30], [85, 55], [74, 55, 20], [73, 76], [73, 73], [46, 45, 33, 23], [42, 44, 38, 26], [47, 43, 33, 27], [41, 42, 45], [43, 36, 38, 32], [43, 33, 41, 32], [41, 38, 42, 29], [35, 46, 30, 39], [37, 36, 28, 36], [30, 25]]
50 :  49   [[91, 57], [98, 38], [55, 84], [93, 57], [96, 50], [80, 70], [94, 55], [92, 58], [86, 58], [93, 57], [90, 60], [78, 70], [98, 49], [80, 69], [73, 73], [96, 49], [84, 60], [85, 45], [98, 42], [85, 64], [79, 70], [80, 69], [87, 62], [84, 66], [84, 62], [91, 57], [78, 49, 23], [72, 69], [74, 74], [82, 67], [78, 71], [83, 55], [76, 73], [84, 43, 23], [42, 82, 26], [79, 59], [45, 78, 25], [73, 58], [83, 44, 20], [43, 81, 25], [44, 27, 46, 33], [30, 38, 41, 38], [47, 42, 36, 24], [43, 35, 43, 29], [41, 32, 42, 33], [46, 33, 42, 28], [30, 41, 39, 39], [36, 37, 36, 32], [30, 27]]
51 :  49   [[82, 66], [90, 55], [82, 64], [93, 57], [98, 50], [98, 27, 25], [96, 49], [98, 49], [58, 85], [76, 70], [83, 60], [91, 57], [84, 62], [78, 69], [84, 58], [83, 42, 23], [84, 57], [81, 69], [94, 25, 30], [93, 57], [58, 91], [96, 44], [84, 59], [85, 60], [86, 55], [78, 72], [78, 71], [80, 70], [79, 62], [73, 73], [92, 47], [87, 55], [74, 74], [84, 42, 24], [67, 80], [80, 43, 27], [73, 73], [78, 70], [38, 79, 33], [69, 49, 26], [46, 46, 42], [45, 42, 41, 20], [41, 41, 44, 23], [30, 45, 42, 32], [39, 43, 38, 30], [38, 36, 32, 43], [35, 43, 36, 36], [39, 33, 37, 29], [28, 33]]
52 :  49   [[85, 62], [98, 46], [85, 60], [83, 57], [93, 57], [96, 43], [80, 42, 27], [98, 49], [96, 44], [79, 71], [84, 60], [91, 58], [74, 73], [72, 78], [81, 69], [93, 57], [82, 64], [98, 42], [83, 67], [58, 86], [94, 55], [74, 69], [91, 49], [92, 57], [84, 37, 26], [80, 70], [90, 55], [78, 70], [73, 73], [84, 62], [78, 43, 27], [87, 59], [69, 80], [79, 45, 25], [58, 84], [66, 78], [82, 43, 25], [84, 55], [70, 76], [73, 49, 28], [50, 45, 42], [38, 36, 43, 33], [46, 42, 47], [35, 41, 41, 32], [44, 42, 38, 24], [39, 36, 36, 39], [41, 38, 30, 30], [33, 32, 33, 30, 20], [23, 29, 23]]
53 :  49   [[93, 55], [96, 49], [91, 58], [96, 50], [85, 64], [80, 36, 30], [82, 66], [73, 76], [91, 58], [80, 57], [59, 84], [98, 44], [98, 46], [94, 55], [82, 29, 39], [92, 58], [84, 62], [90, 60], [78, 69], [70, 78], [98, 43], [87, 60], [86, 62], [69, 79], [80, 70], [78, 26, 42], [93, 41], [37, 84, 27], [85, 57], [73, 73], [78, 71], [83, 67], [69, 81], [74, 74], [47, 72, 30], [84, 44, 20], [84, 57], [83, 57], [79, 70], [73, 42, 32], [55, 49, 42], [49, 43, 46], [36, 43, 35, 33], [38, 45, 42, 25], [45, 41, 38, 25], [39, 38, 43, 27], [36, 41, 42, 30], [33, 33, 32, 28, 23], [24, 23]]
54 :  49   [[57, 93], [69, 69], [83, 58], [94, 55], [98, 50], [80, 57], [74, 74], [98, 49], [93, 57], [82, 67], [98, 42], [80, 70], [80, 70], [91, 58], [90, 60], [76, 73], [84, 55], [83, 62], [96, 43], [92, 58], [86, 60], [45, 78, 27], [96, 45], [84, 66], [78, 72], [78, 71], [85, 62], [73, 73], [84, 59], [85, 64], [78, 70], [91, 25, 28], [81, 69], [87, 55], [84, 38, 27], [79, 41, 30], [84, 57], [73, 36, 41], [82, 39, 29], [79, 42, 25], [49, 43, 47], [49, 46, 44], [42, 37, 42, 23], [39, 43, 43, 24], [38, 35, 42, 33], [44, 46, 36, 23], [36, 38, 41, 32], [33, 32, 30, 33, 20], [30, 26]]
55 :  49   [[93, 57], [84, 58], [78, 69], [98, 49], [82, 33, 32], [67, 83], [91, 57], [86, 64], [92, 57], [79, 70], [98, 46], [96, 46], [91, 58], [96, 41], [80, 70], [84, 66], [55, 93], [84, 60], [76, 73], [87, 62], [82, 60], [85, 25, 39], [80, 69], [94, 55], [98, 50], [85, 62], [84, 55], [79, 71], [73, 73], [90, 58], [83, 41, 25], [81, 69], [72, 78], [74, 73], [84, 43, 23], [78, 70], [80, 57], [74, 42, 33], [78, 49, 23], [59, 45, 42], [49, 36, 43, 20], [43, 38, 42, 27], [38, 44, 42, 26], [35, 44, 47], [41, 30, 45, 29], [43, 42, 33, 32], [38, 37, 36, 39], [36, 30, 27, 30, 24], [28]]
56 :  49   [[91, 57], [98, 42], [84, 58], [38, 84, 28], [98, 46], [91, 57], [90, 60], [96, 50], [94, 55], [84, 60], [96, 49], [93, 49], [85, 64], [98, 35], [80, 62], [93, 57], [73, 74], [92, 43], [74, 73], [69, 80], [72, 78], [78, 70], [80, 70], [86, 58], [82, 67], [87, 59], [83, 62], [42, 79, 27], [85, 55], [83, 57], [82, 66], [42, 78, 23], [73, 76], [84, 36, 25], [69, 78], [73, 69], [81, 43, 26], [79, 71], [84, 27, 38], [47, 70, 33], [33, 39, 37, 41], [43, 42, 38, 24], [55, 45, 49], [58, 45, 43], [41, 39, 46, 23], [44, 41, 44, 20], [42, 36, 30, 36], [32, 30, 33, 29, 25], [30, 32]]
57 :  49   [[93, 57], [94, 55], [96, 49], [98, 42], [80, 70], [69, 79], [92, 58], [58, 91], [83, 57], [98, 49], [78, 70], [98, 45], [90, 55], [96, 50], [85, 62], [73, 74], [81, 67], [45, 93], [91, 55], [87, 57], [84, 66], [73, 70], [80, 38, 32], [86, 58], [84, 60], [79, 69], [82, 64], [85, 62], [84, 60], [78, 69], [71, 78], [84, 39, 23], [43, 80, 25], [83, 41, 24], [82, 39, 29], [76, 74], [59, 41, 42], [84, 44, 20], [78, 72], [73, 73], [47, 46, 57], [43, 46, 38], [27, 43, 49, 30], [41, 42, 38, 27], [43, 30, 44, 33], [42, 33, 36, 37], [36, 36, 42, 32], [35, 28, 33, 30, 23], [26, 25]]
58 :  49   [[70, 80], [83, 67], [93, 57], [98, 49], [98, 42], [91, 57], [98, 49], [96, 49], [94, 55], [83, 60], [79, 70], [85, 60], [93, 57], [96, 50], [86, 44], [92, 58], [91, 55], [84, 41, 25], [80, 69], [87, 62], [78, 70], [90, 59], [45, 78, 27], [84, 64], [76, 72], [84, 57], [78, 69], [82, 66], [78, 71], [73, 74], [42, 79, 29], [84, 38, 28], [84, 55], [73, 73], [81, 69], [85, 62], [82, 43, 24], [80, 58], [73, 74], [43, 58, 42], [46, 47, 44], [42, 36, 41, 30], [45, 43, 36, 25], [42, 36, 39, 30], [43, 37, 39, 26], [46, 30, 33, 41], [33, 33, 38, 35], [32, 38, 27, 32, 20], [23, 23]]
59 :  48   [[85, 64], [98, 45], [96, 47], [98, 49], [84, 66], [86, 58], [83, 59], [80, 69], [91, 57], [78, 70], [84, 42, 24], [98, 50], [93, 55], [96, 49], [71, 79], [82, 67], [79, 69], [84, 60], [93, 55], [94, 55], [91, 58], [83, 29, 36], [70, 80], [84, 62], [74, 76], [80, 70], [82, 62], [92, 57], [81, 69], [87, 60], [90, 57], [85, 57], [32, 84, 30], [78, 49, 23], [73, 74], [78, 72], [73, 73], [73, 44, 32], [78, 46, 26], [42, 42, 45, 20], [58, 44, 43], [33, 42, 43, 25], [38, 39, 36, 37], [41, 41, 41, 27], [43, 36, 43, 25], [46, 39, 28, 35], [38, 42, 30, 38], [33, 33, 30, 27, 23]]
60 :  49   [[93, 57], [94, 55], [78, 70], [84, 43, 23], [96, 46], [86, 58], [82, 57], [79, 70], [98, 47], [83, 67], [98, 45], [82, 60], [79, 69], [93, 57], [80, 69], [84, 45, 20], [96, 49], [74, 74], [59, 85], [73, 73], [84, 41, 25], [90, 60], [92, 49], [73, 76], [87, 62], [81, 58], [85, 38, 26], [98, 49], [91, 58], [69, 80], [72, 78], [80, 70], [71, 78], [91, 57], [84, 66], [64, 78], [73, 50, 27], [83, 44], [62, 84], [55, 55, 36], [43, 46, 42], [43, 38, 43, 25], [44, 33, 36, 35], [41, 42, 42, 24], [37, 42, 33, 38], [42, 39, 41, 27], [30, 32, 36, 39], [33, 32, 30, 29, 23], [30, 28]]
61 :  49   [[74, 74], [87, 58], [98, 50], [98, 49], [91, 57], [84, 55], [71, 79], [98, 44], [80, 70], [94, 55], [85, 62], [73, 70], [84, 66], [96, 49], [82, 59], [96, 49], [85, 41, 24], [78, 72], [91, 57], [80, 39, 27], [82, 67], [93, 57], [90, 60], [92, 58], [84, 62], [86, 55], [83, 58], [83, 64], [78, 70], [93, 57], [73, 76], [79, 69], [84, 47], [80, 69], [78, 69], [84, 60], [73, 73], [78, 45, 27], [81, 43, 26], [46, 39, 42, 23], [43, 41, 43, 23], [44, 45, 33, 28], [38, 42, 42, 25], [37, 46, 33, 33], [38, 43, 36, 32], [42, 38, 36, 30], [35, 41, 42, 32], [36, 30, 29, 30, 25], [20]]
62 :  49   [[78, 70], [93, 57], [94, 55], [86, 60], [84, 41, 24], [96, 49], [82, 66], [96, 50], [98, 49], [85, 57], [91, 58], [98, 47], [55, 91], [98, 49], [74, 43, 33], [90, 60], [81, 58], [80, 69], [87, 58], [85, 45], [92, 43], [84, 59], [84, 62], [70, 80], [70, 73], [84, 62], [83, 67], [93, 57], [82, 64], [76, 73], [79, 71], [78, 69], [78, 72], [83, 44, 23], [79, 69], [80, 57], [84, 55], [74, 73], [78, 42, 30], [73, 36, 38], [39, 42, 43, 25], [41, 41, 42, 25], [46, 42, 39, 23], [43, 33, 46, 28], [38, 42, 35, 33], [36, 37, 44, 30], [38, 45, 36, 29], [20, 30, 32, 32, 27], [27, 26]]
63 :  49   [[91, 57], [85, 62], [57, 39, 49], [98, 50], [86, 59], [82, 66], [84, 62], [78, 69], [79, 71], [73, 76], [98, 35], [73, 69], [92, 58], [94, 55], [96, 46], [98, 49], [91, 58], [96, 44], [87, 47], [93, 57], [64, 84], [93, 55], [78, 72], [84, 43, 23], [78, 70], [74, 55, 20], [84, 36, 30], [45, 78, 25], [80, 70], [90, 58], [82, 67], [73, 73], [80, 42, 27], [83, 60], [80, 41, 28], [79, 69], [85, 57], [84, 60], [81, 43, 26], [83, 42, 23], [74, 70], [45, 42, 32, 30], [49, 44, 43], [43, 39, 38, 30], [42, 38, 36, 33], [46, 36, 41, 27], [32, 41, 42, 33], [38, 37, 33, 24], [29, 25]]
64 :  49   [[84, 59], [84, 45, 20], [85, 57], [98, 49], [98, 50], [84, 58], [85, 58], [83, 66], [90, 60], [82, 64], [96, 49], [87, 62], [93, 57], [74, 73], [93, 57], [91, 55], [72, 78], [96, 44], [98, 46], [36, 83, 30], [84, 62], [92, 58], [91, 42], [67, 80], [94, 55], [81, 69], [84, 60], [80, 70], [74, 73], [79, 70], [78, 44, 23], [69, 78], [86, 57], [41, 80, 29], [42, 76, 32], [79, 69], [73, 73], [82, 43, 25], [78, 41, 30], [70, 71], [42, 46, 49], [45, 42, 55], [43, 42, 43], [36, 38, 43, 32], [36, 47, 38, 28], [37, 35, 39, 30], [41, 39, 33, 33], [38, 27, 33, 27, 25], [26, 23, 24]]
65 :  49   [[80, 36, 30], [74, 73], [90, 58], [84, 66], [96, 49], [98, 49], [85, 32, 33], [57, 93], [98, 49], [93, 57], [91, 23, 33], [91, 58], [50, 98], [84, 62], [69, 81], [96, 45], [60, 84], [92, 57], [85, 60], [80, 70], [84, 43, 23], [47, 70, 33], [82, 64], [87, 62], [94, 55], [78, 71], [83, 67], [82, 59], [79, 70], [84, 29, 36], [76, 43, 30], [79, 69], [80, 69], [78, 72], [58, 86], [83, 55], [78, 46, 25], [78, 37, 35], [44, 73, 30], [73, 74], [73, 41, 32], [43, 57, 41], [42, 42, 43, 20], [45, 42, 44], [41, 42, 38, 27], [55, 38, 46], [38, 42, 39, 28], [36, 39, 27, 25], [26, 24]]
66 :  49   [[92, 58], [84, 62], [62, 82], [84, 58], [96, 50], [84, 55], [93, 57], [98, 49], [96, 49], [83, 66], [73, 74], [85, 59], [93, 57], [84, 60], [98, 49], [42, 78, 27], [94, 42], [91, 57], [98, 47], [78, 71], [79, 70], [83, 57], [90, 55], [91, 55], [81, 69], [85, 64], [86, 58], [84, 60], [87, 33, 30], [79, 69], [80, 69], [78, 67], [82, 43, 23], [76, 73], [78, 70], [73, 74], [80, 70], [80, 36, 32], [72, 73], [36, 45, 42, 27], [39, 43, 39, 29], [44, 46, 46], [36, 41, 43, 28], [38, 42, 43, 25], [44, 33, 42, 20], [37, 45, 38, 30], [41, 41, 38, 30], [35, 33, 32, 26, 24], [25, 23]]
67 :  49   [[84, 38, 27], [91, 57], [79, 71], [96, 45], [86, 62], [87, 58], [81, 42, 26], [84, 62], [91, 58], [93, 55], [76, 74], [94, 30, 25], [98, 49], [98, 42], [90, 57], [98, 49], [85, 64], [93, 57], [69, 79], [84, 66], [82, 60], [73, 73], [69, 80], [69, 78], [84, 57], [80, 70], [96, 49], [92, 58], [80, 70], [78, 46, 23], [83, 67], [82, 39, 25], [73, 74], [83, 60], [84, 55], [85, 55], [78, 72], [73, 43, 33], [78, 70], [38, 44, 41, 27], [59, 47, 42], [50, 29, 46, 23], [43, 38, 42, 24], [44, 32, 41, 33], [43, 41, 43, 20], [39, 36, 45, 30], [36, 36, 30, 33], [42, 37, 32, 35], [28]]
68 :  49   [[96, 49], [98, 50], [67, 80], [91, 58], [69, 79], [76, 74], [70, 80], [42, 78, 28], [87, 62], [84, 59], [98, 49], [91, 58], [92, 42], [60, 85], [96, 49], [94, 55], [84, 66], [90, 57], [85, 57], [93, 57], [78, 72], [82, 64], [84, 41, 25], [93, 55], [84, 57], [98, 44], [73, 73], [86, 55], [80, 70], [83, 62], [84, 41, 23], [82, 60], [78, 46, 26], [83, 45, 20], [73, 70], [78, 69], [79, 71], [81, 42, 24], [58, 73], [74, 43, 33], [69, 47, 30], [41, 36, 43, 30], [46, 44, 45], [43, 39, 38, 30], [43, 42, 33, 32], [42, 38, 36, 33], [36, 38, 37, 39], [35, 29, 32, 27, 27], [25, 23]]
69 :  49   [[85, 57], [79, 67], [70, 78], [93, 57], [98, 49], [84, 62], [69, 78], [96, 46], [85, 58], [91, 58], [78, 70], [79, 71], [93, 57], [98, 50], [94, 55], [84, 62], [87, 38, 24], [84, 42, 23], [45, 42, 55], [98, 49], [84, 66], [83, 60], [86, 44], [82, 64], [42, 76, 32], [69, 74], [74, 73], [96, 49], [92, 57], [73, 73], [84, 59], [78, 72], [90, 60], [73, 47, 30], [81, 69], [91, 58], [80, 70], [80, 46, 23], [83, 42, 25], [82, 39, 29], [80, 42, 25], [41, 33, 44, 28], [55, 43, 43], [37, 33, 43, 35], [43, 38, 36, 32], [36, 41, 41, 30], [45, 36, 39, 30], [38, 33, 27, 27, 20], [26]]
70 :  49   [[78, 72], [96, 44], [98, 49], [98, 43], [92, 58], [86, 62], [90, 57], [85, 64], [84, 66], [93, 49], [80, 69], [93, 57], [83, 67], [74, 73], [84, 30, 33], [84, 55], [76, 74], [32, 84, 30], [73, 41, 36], [91, 58], [96, 43], [94, 55], [98, 49], [69, 80], [83, 57], [91, 58], [78, 70], [60, 87], [82, 59], [73, 73], [62, 84], [78, 70], [71, 79], [79, 70], [82, 43, 25], [81, 69], [85, 55], [80, 45, 23], [42, 78, 29], [46, 42, 45], [42, 60, 42], [57, 42, 50], [47, 38, 38, 27], [41, 41, 38, 27], [39, 32, 28, 26, 25], [43, 36, 44, 23], [46, 39, 35, 30], [37, 33, 36, 33], [24, 20]]
71 :  49   [[79, 60], [98, 49], [87, 62], [73, 73], [98, 49], [83, 58], [85, 42, 23], [60, 86], [91, 57], [84, 66], [84, 57], [70, 80], [84, 59], [93, 57], [78, 69], [93, 57], [82, 67], [72, 78], [90, 43], [96, 49], [98, 47], [92, 58], [84, 62], [78, 71], [96, 46], [85, 64], [80, 70], [84, 55], [79, 69], [94, 55], [91, 58], [73, 73], [80, 69], [55, 81], [78, 45, 27], [74, 74], [83, 45, 20], [82, 42, 25], [76, 33, 41], [38, 44, 43, 23], [38, 70, 38], [37, 33, 44, 36], [36, 42, 42, 30], [41, 35, 43, 30], [50, 28, 42, 30], [46, 43, 36, 25], [41, 39, 24, 39], [32, 26, 33, 27, 32], [29]]
72 :  49   [[98, 36], [72, 78], [90, 55], [93, 57], [98, 49], [91, 55], [93, 57], [66, 84], [98, 49], [85, 57], [84, 59], [82, 62], [91, 30, 27], [79, 64], [92, 43], [96, 42], [69, 81], [82, 67], [86, 60], [83, 41, 26], [84, 58], [80, 70], [96, 49], [94, 50], [87, 58], [84, 62], [85, 58], [80, 69], [84, 57], [73, 74], [78, 70], [79, 69], [74, 73], [76, 73], [43, 83, 24], [78, 42, 29], [78, 71], [80, 70], [39, 44, 46, 20], [47, 73, 27], [55, 44, 46], [60, 41, 42], [38, 39, 43, 30], [36, 43, 41, 30], [45, 42, 38, 25], [42, 32, 38, 33], [45, 37, 36, 32], [33, 35, 23, 33, 25], [28, 23]]
